LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-10-08 19:34:25,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:25,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:26,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:26,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:26,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:27,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:28,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:28,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:28,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:28,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:28,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:30,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:31,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:32,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:32,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:33,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:34,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:36,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:36,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-08 19:34:37,1900-01-00 00:00:00,IsiBocks,44:4E:6D:D0:A3:95,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
