LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-10-09 12:10:32,1900-01-00 00:00:00,,E6:63:DA:BD:BA:93,-61, ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:10:32,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:01,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:01,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:44,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:44,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:44,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:44,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:11:48,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:12:48,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:12:48,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-09 12:12:48,1900-01-00 00:00:00,Hort-G,E6:63:DA:BD:BA:93,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
